doc_id,subsample,stratum
W3190868102,calibracao,PA
W1539749585,calibracao,SI
W2790266794,calibracao,BCS
W2590098932,calibracao,STS
W2032610825,calibracao,PS
W72493441,calibracao,PA
W2160734574,calibracao,SI
W3123912898,calibracao,BCS
W1553020772,calibracao,STS
W4404391695,calibracao,PA
W2048200609,calibracao,BCS
W2152720136,calibracao,PS
W2010365697,calibracao,SI
W1972106757,calibracao,BCS
W2155917711,calibracao,BCS
W2122883673,calibracao,SI
W2143397472,calibracao,SI
W2062518320,calibracao,SI
W1900384871,calibracao,SI
W2030315631,calibracao,STS
W3085381145,calibracao,PA
W4388004654,calibracao,PA
W2132711073,calibracao,SI
W2149958116,calibracao,SI
W2012135992,calibracao,PA
